Reaction_SMILES,X91, X92 ,X93, X94 ,X95,X96,X97,X98,X99,X100,y
BrC/C=C/C1=CC=CC=C1.OB(C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>C1(/C=C/CC2=CC=CC=C2)=CC=CC=C1,-0.05,-3.1,6.03,0.1,-0.2,6.68,0.64,0.15,0.13,0.22,0.57
BrC/C=C/C1=CC=CC=C1.B1(OB(C2=CC=CC=C2)OB(C3=CC=CC=C3)O1)C4=CC=CC=C4.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>C1(/C=C/CC2=CC=CC=C2)=CC=CC=C1,-1.84,-1.38,4.94,0.46,-7.36,4,0.86,-0.36,0.24,-0.18,0.2
BrC/C=C/C1=CC=CC=C1.OB(C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>C1(/C=C/CC2=CC=CC=C2)=CC=CC=C1,-0.05,-3.1,6.82,0.1,-0.2,6.68,0.64,0.15,0.13,0.22,0.84
BrC/C=C/C1=CC=CC=C1.CC1=CC=C(B(O)O)C=C1.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>CC(C=C1)=CC=C1C/C=C/C2=CC=CC=C2,0.05,4.14,6.7,0.23,0.2,-0.84,0.44,-0.15,0.15,-0.57,0.8
BrC/C=C/C1=CC=CC=C1.OB(C1=CC=C(OC)C=C1)O.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>COC(C=C1)=CC=C1C/C=C/C2=CC=CC=C2,0.05,-2.98,6.76,0.4,0.2,2.32,0.14,-0.26,0.29,0.15,0.82
BrC/C=C/C1=CC=CC=C1.CC(C1=CC=C(B(O)O)C=C1)=O.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>CC(C(C=C1)=CC=C1C/C=C/C2=CC=CC=C2)=O,0.36,12.69,6.59,0.33,1.44,-7.21,0.05,-0.56,0,0.35,0.76
BrC/C=C/C1=CC=CC=C1.OB(C1=CC=CC=C1)O.CC1=CC=CC=C1>>C1(/C=C/CC2=CC=CC=C2)=CC=CC=C1,-0.3,5.48,5.09,0.63,-1.2,-3.63,0.21,0.62,-0.05,0.05,0.25
BrC/C=C/C1=CC=CC=C1.OB(C1=CC=CC=C1)O.[O-]P(=O)([O-])[O-].[K+].[K+].[K+].CC1=CC=CC=C1>>C1(/C=C/CC2=CC=CC=C2)=CC=CC=C1,0.16,0.86,5.09,-0.4,0.64,10.25,0.67,-0.05,0.49,-0.04,0.25
BrC/C=C/C1=CC=CC=C1.OB(C1=CC=CC=C1)O.C(=O)([O-])[O-].[Na+].[Na+].CC1=CC=CC=C1>>C1(/C=C/CC2=CC=CC=C2)=CC=CC=C1,-0.16,-2.78,4.53,0.4,-0.64,6.56,0.64,0.21,0.29,0.13,0.06
BrC/C=C/C1=CC=CC=C1.OB(C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].CN(C)C=O>>C1(/C=C/CC2=CC=CC=C2)=CC=CC=C1,0.22,0.9,7.06,0.04,0.88,-2.48,0.7,0.18,-0.16,0.31,0.92
BrC/C=C/C1=CC=CC=C1.OB(C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].C1COCCO1>>C1(/C=C/CC2=CC=CC=C2)=CC=CC=C1,0.11,-2.78,6.97,0.27,0.44,3.28,0.66,-0.16,0.13,0.07,0.89
BrC/C=C(C)\C.OB(C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>C/C(C)=C/CC1=CC=CC=C1,0.14,9.06,6.67,-0.57,0.56,-9.11,-0.22,-0.66,0.35,0.7,0.79
BrC/C=C(C)\C.CC1=CC=C(B(O)O)C=C1.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>C/C(C)=C/CC1=CC=C(C)C=C1,-1.15,16.06,4.67,0.36,-4.6,-9.24,-0.23,-0.01,0,0.15,0.11
BrC/C=C(C)\C.OB(C1=CC=C(OC)C=C1)O.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>C/C(C)=C/CC1=CC=C(OC)C=C1,-0.08,-0.95,5,1.29,-0.32,-4.33,-0.77,0,0.38,-0.13,0.22
BrC/C=C/C.OB(C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>C/C=C/CC1=CC=CC=C1,0.27,15.14,4.35,-0.67,1.08,-11.51,-0.52,-0.74,0.48,1.1,0
BrC/C=C/C.CC1=CC=C(B(O)O)C=C1.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>C/C=C/CC1=CC=C(C)C=C1,-1.56,19.07,4.53,0.67,-6.24,-8.54,-0.47,-0.16,0.13,0.37,0.06
BrC/C=C/C.OB(C1=CC=C(OC)C=C1)O.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>C/C=C/CC1=CC=C(OC)C=C1,-0.16,2.65,5.03,1.6,-0.64,-6.45,-1.08,0.15,0.62,0.2,0.23
C=CCBr.OB(C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>C=CCC1=CC=CC=C1,0.22,35.31,4.35,-0.17,0.88,6.69,1.69,0.52,-0.6,0.29,0
C=CCBr.CC1=CC=C(B(O)O)C=C1.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>C=CCC1=CC=C(C)C=C1,-0.85,37.78,5.7,1.2,-3.4,-2.85,0.67,-0.95,-0.24,-0.68,0.46
C=CCBr.OB(C1=CC=C(OC)C=C1)O.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>C=CCC1=CC=C(OC)C=C1,2.16,30.61,5.91,0.36,8.64,-2.43,0.3,-0.82,0.59,-0.48,0.53
OC(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2O.CCOB(OCC)/C=C/C1=CC=CC=C1.OC1=C(C2=C(C=CC=C3)C3=CC=C2O)C4=CC=CC=C4C=C1.CC1=CC=CC=C1>>OC1=CC(OC)=CC=C1C(C2=CC=C(OC)C=C2)/C=C/C3=CC=CC=C3,-0.14,-0.7,5.11,-0.46,-0.56,-2.3,0.67,-0.08,0.16,0.13,0.26
OC(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2O.CCOB(OCC)/C=C/C1=CC=CC=C1.OC1=C(C2=C(C=CC=C3)C3=CC(Br)=C2O)C4=CC=CC=C4C=C1Br.CC1=CC=CC=C1>>OC1=CC(OC)=CC=C1C(C2=CC=C(OC)C=C2)/C=C/C3=CC=CC=C3,0.03,-8.31,5.53,0.06,0.12,-8.24,0.33,-0.26,1.04,0.53,0.4
