Reaction_SMILES,X91, X92 ,X93, X94 ,X95,X96,X97,X98,X99,X100
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(CC)CC.CC1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.75,-2.27,1.72,-1.59,-0.75,0.38,-0.78,0.59,-0.65,0.21
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(C(C)C)C(C)C.CC1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.06,-1.61,1.75,-0.73,-1.35,-0.53,-0.02,0.38,-0.03,-0.28
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C12=NCCCN1CCCCC2.CC1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.04,-1.72,1.75,-0.55,-1.83,0.11,-0.79,0.47,-0.94,-0.2
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[O-]P([O-])([O-])=O.[K+].[K+].[K+].CC1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.75,-1.4,1.96,-0.73,-1.31,0.05,-0.31,0.2,-0.14,0.5
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.94,-1.19,1.58,-0.52,-1.4,0.38,-0.25,0.33,-0.69,0.26
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].CC1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.92,-1.26,1.64,-0.64,-1.25,0.42,-0.22,0.37,-0.73,0.34
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Li+].[Li+].CC1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.3,-1.61,1.92,-0.57,-0.78,0.35,0.52,0.69,0.3,0.95
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Cs+].[Cs+].CC1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.46,-1.45,1.8,-1.47,-1.77,0.77,-0.3,0.31,1.25,1.07
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[H-].[Na+].CC1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.24,-1.08,1.56,-1.45,-1.74,0.92,-0.49,0.34,0.92,0.86
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].CC1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.7,-2.08,2.19,-0.52,-0.56,-0.21,-0.72,0.83,0.51,-0.22
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[OH-].[Na+].CC1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.75,-1.94,1.75,-1.06,-1.29,0.32,-1.43,0.64,-0.52,-0.06
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(CC)CC.C1CCCCC1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.63,-1.95,1.89,-1.15,-1.2,0.25,-0.85,1.11,-0.14,0.28
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(C(C)C)C(C)C.C1CCCCC1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.99,-1.05,2.41,-0.61,-1.14,0.67,0.24,0.18,-0.26,0.55
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C12=NCCCN1CCCCC2.C1CCCCC1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.92,-2.76,1.87,-1.73,-0.8,0.3,-1.95,0.32,-0.3,-1.04
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[O-]P([O-])([O-])=O.[K+].[K+].[K+].C1CCCCC1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.3,-1,2.14,-1.32,-1.05,0.5,0.08,0.64,0.9,0.43
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].C1CCCCC1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.16,-1.58,1.77,-1.01,-1.3,1.87,-0.54,-0.3,0.35,-0.32
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].C1CCCCC1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.43,-1.44,2.15,-0.82,-0.98,0.1,-0.16,0.5,-0.2,0.57
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Li+].[Li+].C1CCCCC1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.87,-1.74,2.03,-0.88,-1.25,0.13,-0.67,0.44,0.06,-0.04
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Cs+].[Cs+].C1CCCCC1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.35,-1.56,2.14,-0.72,-1.17,0.17,-0.15,0.42,0.12,0.56
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[H-].[Na+].C1CCCCC1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.54,-1.34,1.05,-1.58,-1.99,0.69,-0.58,0.52,0.23,0.63
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].C1CCCCC1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.59,-1.91,1.9,-1.4,-0.34,-0.77,-1.1,-0.54,0.55,-0.43
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[OH-].[Na+].C1CCCCC1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.21,-0.97,1.29,-0.74,-1.06,0.49,0.3,0.53,0.7,0.49
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(CC)CC.[H]C(Cl)([H])Cl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.13,-1.77,2.2,-0.38,-0.55,0.06,-1,0.27,-0.69,-0.16
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(C(C)C)C(C)C.[H]C(Cl)([H])Cl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.01,-1.7,1.75,-0.99,-1.33,-0.48,-0.34,0.37,0.03,-0.3
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C12=NCCCN1CCCCC2.[H]C(Cl)([H])Cl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.01,-1.74,1.82,-0.97,-1.37,-0.41,-0.27,0.41,0.09,-0.3
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[O-]P([O-])([O-])=O.[K+].[K+].[K+].[H]C(Cl)([H])Cl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.16,-1.71,1.76,-0.89,-1.49,-0.46,-0.19,0.44,0.05,-0.28
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].[H]C(Cl)([H])Cl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.33,-1.51,1.79,-1.12,-1.27,-0.66,-0.2,0.51,0.3,-0.3
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].[H]C(Cl)([H])Cl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.77,-1.46,1.28,-0.95,-1.01,-0.2,-0.4,0.54,-0.15,-0.48
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Li+].[Li+].[H]C(Cl)([H])Cl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.52,-1.66,1.23,-0.99,-1.29,-0.21,-0.7,0.49,-0.1,-0.64
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Cs+].[Cs+].[H]C(Cl)([H])Cl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.45,-1.69,1.1,-0.79,-1.36,-0.17,-0.49,0.55,-0.03,-0.48
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[H-].[Na+].[H]C(Cl)([H])Cl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.94,-1.65,0.86,-0.77,-1.46,-0.41,-0.31,0.78,0.15,-0.32
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].[H]C(Cl)([H])Cl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.45,-1.75,1.78,-0.78,-1.46,-0.57,-0.17,0.31,-0.02,-0.33
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[OH-].[Na+].[H]C(Cl)([H])Cl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.99,-1.68,1.61,-0.99,-1.4,-0.37,-0.49,0.53,-0.05,-0.46
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(CC)CC.CC(OCC)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.25,-1.64,1.8,-0.97,-1.38,-0.43,-0.29,0.55,0,-0.29
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(C(C)C)C(C)C.CC(OCC)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.7,-1.78,1.83,-1.21,-1.31,-0.64,-0.67,0.26,0.13,-0.42
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C12=NCCCN1CCCCC2.CC(OCC)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.88,-2.3,1.95,-0.97,-1.65,0.56,-0.82,-0.19,0.08,-0.87
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[O-]P([O-])([O-])=O.[K+].[K+].[K+].CC(OCC)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.35,-1.32,2.05,-1.52,-1.33,-1.14,-0.63,0.62,0.14,-0.29
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].CC(OCC)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.18,-1.71,2.12,-0.87,-1.38,-0.27,-0.23,0.13,-0.12,-0.41
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].CC(OCC)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.11,-2.47,-0.81,-2.62,-1.47,0.91,-0.44,0.07,0.59,0.19
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Li+].[Li+].CC(OCC)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.93,-2.37,1.57,-0.92,-2.29,1.03,-0.34,-0.04,0.21,-1.05
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Cs+].[Cs+].CC(OCC)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.28,-1.2,1.98,-1.14,-1.41,-1.06,-0.25,0.56,0.05,-0.19
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[H-].[Na+].CC(OCC)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.21,-2.35,2,-1.02,-1.77,0.31,-0.68,-0.19,0.48,-0.41
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].CC(OCC)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.13,-1.47,1.86,-1.26,-1.33,-1.07,-0.59,0.51,0.15,-0.33
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[OH-].[Na+].CC(OCC)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.01,-2.62,1.6,-1.32,-1.77,0.82,-0.92,-0.31,0.57,-0.85
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(CC)CC.ClCCCl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.01,-1.34,1.73,-1.54,-1.41,-0.76,-0.8,0.46,0.1,-0.46
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(C(C)C)C(C)C.ClCCCl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.42,-1.49,1.9,-1.26,-1.35,-0.91,-0.51,0.52,0.14,-0.31
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C12=NCCCN1CCCCC2.ClCCCl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.57,-1.62,1.7,-1.05,-1.4,-0.45,-0.42,0.42,-0.01,-0.43
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[O-]P([O-])([O-])=O.[K+].[K+].[K+].ClCCCl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.77,-2.23,1.49,-0.53,-1.09,0.01,-0.44,0.12,-0.5,-0.56
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].ClCCCl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.52,-1.52,1.99,-0.39,-0.92,-0.49,-0.57,0.09,-0.67,-0.51
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].ClCCCl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.45,-1.35,2.01,-1.57,-1.32,-1.17,-0.62,0.64,0.15,-0.25
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Li+].[Li+].ClCCCl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.11,-1.7,1.81,-0.46,-0.79,-0.64,-0.32,0.31,-0.57,-0.27
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Cs+].[Cs+].ClCCCl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.48,-1.63,1.64,-1.36,-1.51,-0.41,-0.53,0.43,0.05,-0.47
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[H-].[Na+].ClCCCl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.04,-2,1.96,-0.37,-0.55,-0.6,-0.37,0.11,-0.45,-0.74
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].ClCCCl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.77,-1.19,1.95,-1.17,-1.42,-1.05,-0.21,0.57,0.02,-0.13
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[OH-].[Na+].ClCCCl>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.11,-2.31,1.9,-0.66,-0.23,-0.21,-0.86,0.07,-0.14,-1.23
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(CC)CC.CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.16,-1.34,1.7,-1.54,-1.43,-0.74,-0.71,0.48,0.1,-0.4
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(C(C)C)C(C)C.CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.65,-1.75,2.05,-0.5,-0.63,-0.82,-0.75,0.11,-0.55,-0.61
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C12=NCCCN1CCCCC2.CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.3,-1.46,1.85,-1.24,-1.3,-1.05,-0.5,0.55,0.1,-0.27
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[O-]P([O-])([O-])=O.[K+].[K+].[K+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.13,-1.64,1.64,-1.03,-1.45,-0.42,-0.44,0.46,-0.07,-0.43
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.94,-1.82,1.76,-1.12,-1.32,-0.68,-0.5,0.3,0.14,-0.44
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.23,-1.45,1.57,-0.89,-1.32,-0.62,0.16,0.6,0.27,-0.23
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Li+].[Li+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.08,-1.4,1.51,-1.14,-1.41,-0.61,-0.29,0.63,0.09,-0.38
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Cs+].[Cs+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.96,-1.74,1.58,-0.9,-1.32,-0.47,-0.24,0.45,0.03,-0.35
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[H-].[Na+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.04,-1.54,2.33,-1.01,-1.37,-0.26,-0.68,-0.09,-0.06,-0.48
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.08,-1.28,1.76,-1.27,-1.42,-0.99,-0.11,0.77,0.13,-0.22
